Gender,Education_Level,Preferred_Activities,Location,Favorite_Season,Pets,Environmental_Concerns,Preference,Proximity_to_Mountains,Proximity_to_Beaches,Vacation_Budget,Travel_Frequency,Income,Age
male,bachelor,skiing,urban,summer,0,1,1,175,267,2477,9,71477,56
male,master,swimming,suburban,fall,0,1,0,228,190,4777,1,88740,69
female,master,skiing,urban,winter,0,0,1,71,280,1469,0,46562,46
non-binary,high school,hiking,rural,summer,1,0,1,31,255,1482,6,99044,32
female,high school,sunbathing,suburban,winter,1,1,0,23,151,516,5,106583,60
male,doctorate,sunbathing,urban,fall,0,1,0,6,47,2895,3,110588,25
male,bachelor,swimming,rural,fall,0,1,0,157,225,4994,1,22245,38
non-binary,bachelor,sunbathing,urban,winter,1,0,0,210,166,3656,8,109411,56
male,master,swimming,suburban,summer,1,1,0,218,263,2408,6,22531,36
non-binary,high school,swimming,rural,summer,1,1,0,271,15,4044,1,90840,40
female,master,skiing,suburban,spring,0,1,0,159,51,3495,4,42036,28
non-binary,high school,skiing,urban,winter,1,0,0,33,21,1747,3,97902,28
female,bachelor,hiking,suburban,summer,1,1,1,130,254,1591,7,52794,41
female,bachelor,sunbathing,rural,fall,0,1,0,211,148,2221,9,93042,53
male,high school,hiking,suburban,fall,0,0,1,36,258,2607,3,65802,57
female,master,skiing,urban,fall,1,1,1,77,209,2830,2,99810,41
male,bachelor,sunbathing,rural,winter,0,0,0,280,211,675,7,112635,20
non-binary,doctorate,hiking,rural,summer,0,1,0,253,50,4979,4,52469,39
non-binary,bachelor,sunbathing,rural,fall,0,0,0,162,293,4028,5,69522,19
female,doctorate,hiking,urban,summer,0,0,0,207,162,803,1,46992,41
non-binary,high school,hiking,urban,fall,0,1,0,296,169,4140,5,107749,61
female,master,skiing,suburban,spring,1,1,0,298,41,3818,7,97814,47
non-binary,high school,skiing,suburban,fall,1,1,0,263,241,635,1,52222,55
female,bachelor,swimming,rural,winter,0,1,0,164,1,862,1,82148,19
female,master,skiing,urban,spring,1,0,0,234,54,3424,4,112172,38
non-binary,master,skiing,urban,summer,1,1,0,243,161,3923,3,43152,50
non-binary,high school,sunbathing,rural,spring,1,0,0,48,185,1823,3,98433,29
non-binary,high school,skiing,suburban,summer,0,1,1,220,230,2850,4,46417,39
non-binary,bachelor,swimming,rural,summer,0,1,0,256,291,3940,6,29865,61
